;2021;2021;2021;2021;2021;2021;2021;2021;
;брой;брой;брой;брой;брой;брой;брой;брой;
;Общо;Нямам;до 50%;50-70%;71-90%;Над 90%;Не желая да отговоря;Непоказано;
Общо за страната;5541012;4307189;53782;218038;225342;135137;167224;434300;
Северна и Югоизточна България;2706828;2155103;27071;109520;116896;72182;67123;158933;
Северозападен;593933;469913;5386;30379;34130;22889;13719;17517;
Видин;66049;54125;803;3501;3560;2153;1540;367;
Белоградчик;4347;3776;38;196;149;116;37;35;
Бойница;728;517;8;50;92;54;5;2;
Брегово;3561;2768;41;203;276;214;54;5;
Видин;41936;34377;542;2185;2173;1223;1224;212;
Грамада;1217;990;12;72;74;55;12;2;
Димово;4031;3406;43;180;188;106;46;62;
Кула;2957;2431;28;160;191;117;19;11;
Макреш;981;802;15;69;54;29;9;3;
Ново село;2140;1668;26;126;138;90;80;12;
Ружинци;2740;2257;41;178;122;90;38;14;
Чупрене;1411;1133;9;82;103;59;16;9;
Враца;129975;102810;1243;7421;7620;5930;4312;639;
Борован;3914;3143;24;170;244;228;79;26;
Бяла Слатина;16512;13124;152;1011;973;697;432;123;
Враца;52889;41679;489;3048;3228;2433;1821;191;
Козлодуй;14917;12633;103;542;524;406;615;94;
Криводол;6472;4631;62;442;492;458;355;32;
Мездра;15399;11731;180;969;974;783;711;51;
Мизия;4976;4090;58;281;240;237;44;26;
Оряхово;7377;6116;74;426;392;241;64;64;
Роман;4138;3084;49;285;318;283;97;22;
Хайредин;3381;2579;52;247;235;164;94;10;
Ловеч;99663;83187;1102;4871;4927;2723;2368;485;
Априлци;2547;2084;19;174;157;58;51;4;
Летница;3061;2584;39;127;140;72;83;16;
Ловеч;34027;28121;444;1404;1854;1078;1003;123;
Луковит;12453;10620;107;403;511;292;371;149;
Тетевен;15306;12840;166;953;662;379;237;69;
Троян;23724;19704;201;1469;1212;590;484;64;
Угърчин;4190;3481;67;194;188;134;96;30;
Ябланица;4355;3753;59;147;203;120;43;30;
Монтана;103612;80512;907;4612;5904;3602;2239;5836;
Берковица;12715;9994;108;579;713;473;145;703;
Бойчиновци;6550;5140;68;268;372;233;119;350;
Брусарци;3583;2720;34;179;243;147;83;177;
Вълчедръм;6470;5197;59;237;278;187;51;461;
Вършец;5790;4570;54;287;387;248;53;191;
Георги Дамяново;1904;1439;21;108;164;87;14;71;
Лом;18581;13671;215;985;1045;615;397;1653;
Медковец;2647;2089;31;136;140;81;23;147;
Монтана;39764;31115;278;1607;2279;1370;1298;1817;
Чипровци;2675;2227;8;92;134;86;26;102;
Якимово;2933;2350;31;134;149;75;30;164;
Плевен;194634;149279;1331;9974;12119;8481;3260;10190;
Белене;7046;5860;33;242;305;232;85;289;
Гулянци;8542;6385;69;477;618;497;57;439;
Долна Митрополия;14520;10935;111;823;1064;754;157;676;
Долни Дъбник;8352;6129;60;519;640;438;146;420;
Искър;4877;3825;34;237;292;220;29;240;
Кнежа;10872;8889;59;476;549;421;144;334;
Левски;13559;10261;90;741;932;692;286;557;
Никопол;6267;4529;47;415;508;389;76;303;
Плевен;96715;74506;643;4686;5616;3720;1974;5570;
Пордим;4302;3159;36;253;323;236;67;228;
Червен бряг;19582;14801;149;1105;1272;882;239;1134;
Северен централен;607146;478927;5737;27157;32744;18088;15016;29477;
Велико Търново;179770;145684;1159;5344;8019;4623;4431;10510;
Велико Търново;65769;53831;384;1649;2266;1172;1816;4651;
Горна Оряховица;33616;27050;213;994;1319;688;1249;2103;
Елена;6676;5613;77;226;272;154;71;263;
Златарица;2880;2355;31;124;144;63;13;150;
Лясковец;10125;8398;73;317;432;207;216;482;
Павликени;16439;12446;104;648;1270;764;374;833;
Полски Тръмбеш;9737;7874;46;282;621;423;97;394;
Свищов;24403;19875;140;724;1179;866;476;1143;
Стражица;8395;6928;83;322;381;199;96;386;
Сухиндол;1730;1314;8;58;135;87;23;105;
Габрово;85988;67977;685;4742;5810;3549;2882;343;
Габрово;45478;36436;321;2485;3019;1753;1298;166;
Дряново;6807;5248;69;392;475;312;290;21;
Севлиево;25444;19669;230;1378;1781;1153;1114;119;
Трявна;8259;6624;65;487;535;331;180;37;
Разград;88921;69478;808;4783;4694;2331;2180;4647;
Завет;6994;5661;70;392;291;120;158;302;
Исперих;16268;13173;166;873;632;286;158;980;
Кубрат;12405;9630;180;797;628;304;190;676;
Лозница;6700;5197;63;376;357;218;189;300;
Разград;37376;29366;248;1747;2039;1041;954;1981;
Самуил;5146;3758;20;361;440;238;109;220;
Цар Калоян;4032;2693;61;237;307;124;422;188;
Русе;168006;136384;2086;6456;6341;3338;3844;9557;
Борово;3666;2775;55;212;266;128;21;209;
Бяла;9142;7703;89;373;348;185;86;358;
Ветово;8584;6775;114;440;316;186;285;468;
Две могили;6200;5074;76;234;248;131;166;271;
Иваново;7005;5615;110;315;308;199;132;326;
Русе;122001;98914;1493;4404;4402;2291;3043;7454;
Сливо поле;7477;6215;92;312;270;146;83;359;
Ценово;3931;3313;57;166;183;72;28;112;
Силистра;84461;59404;999;5832;7880;4247;1679;4420;
Алфатар;2022;1365;19;125;250;133;45;85;
Главиница;7666;5392;104;660;673;390;112;335;
Дулово;20284;14209;182;1612;1871;929;290;1191;
Кайнарджа;2924;2225;34;187;204;119;31;124;
Силистра;36861;25318;477;2365;3756;2045;864;2036;
Ситово;3971;2951;53;241;328;188;24;186;
Тутракан;10733;7944;130;642;798;443;313;463;
Североизточен;707250;561327;7276;26547;27149;16322;16689;51940;
Варна;363922;284864;3983;13402;13295;8251;10668;29459;
Аврен;7059;5741;83;300;284;163;117;371;
Аксаково;16293;12632;260;773;611;363;376;1278;
Белослав;8431;6797;122;413;310;209;191;389;
Бяла;2541;2027;27;140;100;73;25;149;
Варна;268678;211515;2478;8166;8881;5570;9005;23063;
Ветрино;4048;3311;43;170;150;110;46;218;
Вълчи дол;6558;4802;96;320;381;233;152;574;
Девня;6123;4769;102;340;269;164;57;422;
Долни чифлик;12817;9721;220;787;627;347;253;862;
Дългопол;10406;7771;205;850;643;372;130;435;
Провадия;15472;11482;265;872;781;497;203;1372;
Суворово;5496;4296;82;271;258;150;113;326;
Добрич;129306;105781;1254;4486;4713;2531;2335;8206;
Балчик;13809;11243;126;461;399;242;222;1116;
Генерал Тошево;9717;8074;113;366;399;196;117;452;
Добрич-селска;14159;11456;150;567;563;287;96;1040;
Добрич;63844;51764;625;2317;2496;1308;1286;4048;
Каварна;11407;9761;83;266;316;187;206;588;
Крушари;2617;2202;16;66;94;42;7;190;
Тервел;10168;8287;93;335;339;209;301;604;
Шабла;3585;2994;48;108;107;60;100;168;
Търговище;84177;69181;697;3204;2972;1603;1299;5221;
Антоново;3985;3439;28;143;121;72;13;169;
Омуртаг;14157;11435;137;675;622;275;70;943;
Опака;4770;4217;29;154;116;83;45;126;
Попово;19827;16696;128;622;623;340;312;1106;
Търговище;41438;33394;375;1610;1490;833;859;2877;
Шумен;129845;101501;1342;5455;6169;3937;2387;9054;
Велики Преслав;9195;7180;88;448;540;322;133;484;
Венец;5319;3852;68;373;232;186;132;476;
Върбица;6572;5246;85;361;234;185;44;417;
Каолиново;8916;6789;105;414;431;241;115;821;
Каспичан;5427;4296;55;251;300;206;56;263;
Никола Козлево;4256;3382;40;189;204;124;24;293;
Нови пазар;12542;9683;117;561;734;422;183;842;
Смядово;4781;3705;60;248;337;194;24;213;
Хитрино;5122;3636;53;263;267;201;38;664;
Шумен;67715;53732;671;2347;2890;1856;1638;4581;
Югоизточен;798499;644936;8672;25437;22873;14883;21699;59999;
Бургас;317986;260699;2553;9266;6687;4851;10687;23243;
Айтос;20840;16949;192;757;422;312;311;1897;
Бургас;165075;136238;1267;4371;3357;2486;5358;11998;
Камено;8038;6432;86;254;205;238;89;734;
Карнобат;17381;14466;166;631;472;281;370;995;
Малко Търново;2294;1821;18;100;105;49;31;170;
Несебър;19741;15614;148;407;315;223;741;2293;
Поморие;21161;17179;147;600;426;309;647;1853;
Приморско;4823;3933;50;172;110;112;71;375;
Руен;21652;17614;177;909;503;296;1451;702;
Созопол;10249;7658;74;274;207;147;1203;686;
Средец;10887;9205;93;332;243;191;122;701;
Сунгурларе;8764;7511;80;289;189;109;170;416;
Царево;7081;6079;55;170;133;98;123;423;
Сливен;138218;110372;2100;5160;4456;2831;2853;10446;
Котел;13103;10693;234;515;381;241;203;836;
Нова Загора;24607;20288;389;851;654;450;455;1520;
Сливен;90447;70994;1330;3468;3034;1871;2130;7620;
Твърдица;10061;8397;147;326;387;269;65;470;
Стара Загора;250240;201463;2726;7412;8068;4932;6436;19203;
Братя Даскалови;6012;5076;80;199;207;131;61;258;
Гурково;3416;2607;50;129;140;73;232;185;
Гълъбово;9394;8066;101;304;248;181;125;369;
Казанлък;55853;45931;607;1612;1668;1072;1271;3692;
Мъглиж;8107;6824;100;211;259;166;69;478;
Николаево;3043;2537;44;109;107;68;23;155;
Опан;2176;1713;39;93;105;55;19;152;
Павел баня;10372;8739;136;347;345;198;129;478;
Раднево;14286;11717;133;413;530;257;266;970;
Стара Загора;122471;96163;1264;3485;3889;2380;4004;11286;
Чирпан;15110;12090;172;510;570;351;237;1180;
Ямбол;92055;72402;1293;3599;3662;2269;1723;7107;
Болярово;2697;2143;44;101;146;118;19;126;
Елхово;11466;9356;196;437;474;277;123;603;
Стралджа;8212;6515;99;303;289;181;80;745;
Тунджа;18145;14702;256;826;815;517;187;842;
Ямбол;51535;39686;698;1932;1938;1176;1314;4791;
Югозападна и Южна централна България;2834184;2152086;26711;108518;108446;62955;100101;275367;
Югозападен;1716001;1275138;14949;60967;65928;39082;62824;197113;
Благоевград;246745;205325;2312;7946;5883;3994;6544;14741;
Банско;10823;9297;95;331;219;145;247;489;
Белица;7586;6542;81;334;147;87;138;257;
Благоевград;58413;47913;513;1811;1519;974;1437;4246;
Гоце Делчев;24497;20791;216;758;574;392;499;1267;
Гърмен;11828;10524;106;322;193;129;239;315;
Кресна;4033;3399;49;159;105;103;65;153;
Петрич;40659;31667;381;1255;953;652;2049;3702;
Разлог;16018;13681;173;529;398;264;264;709;
Сандански;30580;24968;283;1004;829;530;921;2045;
Сатовча;11390;10076;100;355;196;164;182;317;
Симитли;11270;9670;104;380;287;197;174;458;
Струмяни;3927;3150;36;151;144;106;70;270;
Хаджидимово;7640;6873;57;179;129;117;81;204;
Якоруда;8081;6774;118;378;190;134;178;309;
Кюстендил;97121;80542;966;4306;4692;3616;2428;571;
Бобов дол;6166;5265;43;232;274;239;98;15;
Бобошево;2110;1738;36;101;107;74;47;7;
Дупница;32216;26964;347;1364;1379;854;1141;167;
Кочериново;3776;3247;37;160;160;128;36;8;
Кюстендил;42688;34829;423;1985;2285;1943;868;355;
Невестино;1733;1368;17;96;122;109;17;4;
Рила;2153;1907;9;67;75;58;35;2;
Сапарева баня;5880;4929;50;281;271;192;144;13;
Трекляно;399;295;4;20;19;19;42;-;
Перник;98196;80682;722;5084;5143;3308;2953;304;
Брезник;5160;4149;36;326;345;211;82;11;
Земен;1859;1415;12;132;156;101;42;1;
Ковачевци;1157;826;14;75;89;104;45;4;
Перник;71867;59418;550;3597;3601;2279;2199;223;
Радомир;15088;12399;88;780;750;480;538;53;
Трън;3065;2475;22;174;202;133;47;12;
София;197084;153268;2015;8462;8562;5844;6857;12076;
Антон;1265;1080;10;34;51;53;16;21;
Божурище;8028;6288;91;301;351;199;471;327;
Ботевград;26176;19792;228;1306;1153;756;1377;1564;
Годеч;4443;3566;49;198;217;179;70;164;
Горна Малина;5320;4408;53;189;225;157;78;210;
Долна баня;3416;2629;42;170;198;122;68;187;
Драгоман;4134;3369;31;155;165;145;65;204;
Елин Пелин;19471;15398;154;636;684;455;717;1427;
Етрополе;9338;7433;93;517;481;337;125;352;
Златица;4302;3537;36;127;141;113;77;271;
Ихтиман;13824;10391;139;548;472;338;352;1584;
Копривщица;1760;1439;13;84;83;58;44;39;
Костенец;9689;7808;89;433;399;315;233;412;
Костинброд;15323;12191;155;573;625;388;490;901;
Мирково;2046;1641;10;59;53;66;136;81;
Пирдоп;6279;5306;40;176;198;169;96;294;
Правец;5738;4501;51;303;273;193;101;316;
Самоков;29239;21100;440;1420;1461;985;1411;2422;
Своге;17292;13281;195;788;857;514;694;963;
Сливница;7767;6237;80;368;393;238;191;260;
Чавдар;998;848;6;40;27;26;27;24;
Челопеч;1236;1025;10;37;55;38;18;53;
София (столица);1076855;755321;8934;35169;41648;22320;44042;169421;
Столична;1076855;755321;8934;35169;41648;22320;44042;169421;
Южен централен;1118183;876948;11762;47551;42518;23873;37277;78254;
Кърджали;122305;91692;713;6187;5341;2860;6807;8705;
Ардино;10378;7468;45;668;545;285;718;649;
Джебел;7440;5333;49;494;373;206;516;469;
Кирково;18229;13908;117;929;823;409;1035;1008;
Крумовград;14490;11644;82;729;611;334;321;769;
Кърджали;52249;38571;297;2399;2157;1190;3324;4311;
Момчилград;12666;9255;62;634;549;294;616;1256;
Черноочене;6853;5513;61;334;283;142;277;243;
Пазарджик;195411;152644;2202;8651;7002;3280;6188;15444;
Батак;4317;3492;46;252;185;147;56;139;
Белово;6524;5037;81;330;278;127;59;612;
Брацигово;6449;5168;82;306;273;124;189;307;
Велинград;27164;21161;380;1138;766;358;1086;2275;
Лесичово;4027;3313;46;176;172;109;16;195;
Пазарджик;77955;59292;828;3373;2951;1270;2113;8128;
Панагюрище;19238;16117;204;718;605;310;462;822;
Пещера;12544;9759;141;587;443;210;320;1084;
Ракитово;10938;7803;129;482;301;147;1466;610;
Септември;18385;15141;185;828;700;321;255;955;
Стрелча;3844;3077;39;195;149;80;84;220;
Сърница;4026;3284;41;266;179;77;82;97;
Пловдив;536163;414332;6066;21744;21279;12782;18654;41306;
Асеновград;49083;37397;509;2686;2532;1332;1566;3061;
Брезово;5409;4285;86;254;304;145;47;288;
Калояново;9228;7664;97;375;362;243;106;381;
Карлово;39434;31791;493;1392;1446;858;1534;1920;
Кричим;6014;4916;54;267;234;179;79;285;
Куклен;5337;4194;79;265;262;155;114;268;
Лъки;2050;1530;23;130;113;110;33;111;
Марица;26783;20825;299;1122;969;664;1869;1035;
Перущица;3586;2758;55;204;133;115;77;244;
Пловдив;269390;203675;2835;9747;9657;5852;9877;27747;
Първомай;18738;14695;267;906;995;612;337;926;
Раковски;21109;17404;226;857;766;490;593;773;
Родопи;27955;22438;339;1245;1218;628;773;1314;
Садово;12285;9841;175;559;574;304;395;437;
Сопот;7267;5714;102;285;261;167;141;597;
Стамболийски;14968;11531;186;658;635;405;585;968;
Съединение;8032;6513;99;361;366;234;162;297;
Хисаря;9495;7161;142;431;452;289;366;654;
Смолян;84847;74112;1031;3668;2975;1578;1282;201;
Баните;3099;2539;41;216;158;90;53;2;
Борино;2284;1949;39;127;101;45;14;9;
Девин;8713;7560;120;388;318;182;123;22;
Доспат;6567;5918;54;235;167;108;76;9;
Златоград;8659;7772;104;306;236;146;74;21;
Мадан;8832;7782;109;410;269;132;107;23;
Неделино;4587;3897;72;231;138;100;131;18;
Рудозем;7460;6578;94;308;218;103;149;10;
Смолян;29323;25411;337;1231;1182;581;501;80;
Чепеларе;5323;4706;61;216;188;91;54;7;
Хасково;179457;144168;1750;7301;5921;3373;4346;12598;
Димитровград;38486;30666;339;1419;1286;665;1246;2865;
Ивайловград;4545;3656;35;231;147;98;208;170;
Любимец;7354;6316;61;255;194;141;101;286;
Маджарово;1303;1002;21;61;31;26;33;129;
Минерални бани;4812;3835;69;251;181;95;64;317;
Свиленград;17644;14501;129;539;556;315;553;1051;
Симеоновград;5963;4772;60;216;168;91;68;588;
Стамболово;4755;3868;47;248;165;94;28;305;
Тополовград;7880;6407;81;289;294;199;105;505;
Харманли;18150;14606;187;795;624;383;242;1313;
Хасково;68565;54539;721;2997;2275;1266;1698;5069;
